,dteday,season,yr,mnth,holiday,weekday,workingday,cnt
535,2012-06-19,2,1,6,0,2,1,6825
536,2012-06-20,2,1,6,0,3,1,6211
537,2012-06-21,3,1,6,0,4,1,5905
538,2012-06-22,3,1,6,0,5,1,5823
539,2012-06-23,3,1,6,0,6,0,7458
540,2012-06-24,3,1,6,0,0,0,6891
541,2012-06-25,3,1,6,0,1,1,6779
542,2012-06-26,3,1,6,0,2,1,7442
543,2012-06-27,3,1,6,0,3,1,7335
544,2012-06-28,3,1,6,0,4,1,6879
545,2012-06-29,3,1,6,0,5,1,5463
546,2012-06-30,3,1,6,0,6,0,5687
547,2012-07-01,3,1,7,0,0,0,5531
548,2012-07-02,3,1,7,0,1,1,6227
549,2012-07-03,3,1,7,0,2,1,6660
550,2012-07-04,3,1,7,1,3,0,7403
551,2012-07-05,3,1,7,0,4,1,6241
552,2012-07-06,3,1,7,0,5,1,6207
553,2012-07-07,3,1,7,0,6,0,4840
554,2012-07-08,3,1,7,0,0,0,4672
555,2012-07-09,3,1,7,0,1,1,6569
556,2012-07-10,3,1,7,0,2,1,6290
557,2012-07-11,3,1,7,0,3,1,7264
558,2012-07-12,3,1,7,0,4,1,7446
559,2012-07-13,3,1,7,0,5,1,7499
560,2012-07-14,3,1,7,0,6,0,6969
561,2012-07-15,3,1,7,0,0,0,6031
562,2012-07-16,3,1,7,0,1,1,6830
563,2012-07-17,3,1,7,0,2,1,6786
564,2012-07-18,3,1,7,0,3,1,5713
565,2012-07-19,3,1,7,0,4,1,6591
566,2012-07-20,3,1,7,0,5,1,5870
567,2012-07-21,3,1,7,0,6,0,4459
568,2012-07-22,3,1,7,0,0,0,7410
569,2012-07-23,3,1,7,0,1,1,6966
570,2012-07-24,3,1,7,0,2,1,7592
571,2012-07-25,3,1,7,0,3,1,8173
572,2012-07-26,3,1,7,0,4,1,6861
573,2012-07-27,3,1,7,0,5,1,6904
574,2012-07-28,3,1,7,0,6,0,6685
575,2012-07-29,3,1,7,0,0,0,6597
576,2012-07-30,3,1,7,0,1,1,7105
577,2012-07-31,3,1,7,0,2,1,7216
578,2012-08-01,3,1,8,0,3,1,7580
579,2012-08-02,3,1,8,0,4,1,7261
580,2012-08-03,3,1,8,0,5,1,7175
581,2012-08-04,3,1,8,0,6,0,6824
582,2012-08-05,3,1,8,0,0,0,5464
583,2012-08-06,3,1,8,0,1,1,7013
584,2012-08-07,3,1,8,0,2,1,7273
585,2012-08-08,3,1,8,0,3,1,7534
586,2012-08-09,3,1,8,0,4,1,7286
587,2012-08-10,3,1,8,0,5,1,5786
588,2012-08-11,3,1,8,0,6,0,6299
589,2012-08-12,3,1,8,0,0,0,6544
590,2012-08-13,3,1,8,0,1,1,6883
591,2012-08-14,3,1,8,0,2,1,6784
592,2012-08-15,3,1,8,0,3,1,7347
593,2012-08-16,3,1,8,0,4,1,7605
594,2012-08-17,3,1,8,0,5,1,7148
595,2012-08-18,3,1,8,0,6,0,7865
596,2012-08-19,3,1,8,0,0,0,4549
597,2012-08-20,3,1,8,0,1,1,6530
598,2012-08-21,3,1,8,0,2,1,7006
599,2012-08-22,3,1,8,0,3,1,7375
600,2012-08-23,3,1,8,0,4,1,7765
601,2012-08-24,3,1,8,0,5,1,7582
602,2012-08-25,3,1,8,0,6,0,6053
603,2012-08-26,3,1,8,0,0,0,5255
604,2012-08-27,3,1,8,0,1,1,6917
605,2012-08-28,3,1,8,0,2,1,7040
606,2012-08-29,3,1,8,0,3,1,7697
607,2012-08-30,3,1,8,0,4,1,7713
608,2012-08-31,3,1,8,0,5,1,7350
609,2012-09-01,3,1,9,0,6,0,6140
610,2012-09-02,3,1,9,0,0,0,5810
611,2012-09-03,3,1,9,1,1,0,6034
612,2012-09-04,3,1,9,0,2,1,6864
613,2012-09-05,3,1,9,0,3,1,7112
614,2012-09-06,3,1,9,0,4,1,6203
615,2012-09-07,3,1,9,0,5,1,7504
616,2012-09-08,3,1,9,0,6,0,5976
617,2012-09-09,3,1,9,0,0,0,8227
618,2012-09-10,3,1,9,0,1,1,7525
619,2012-09-11,3,1,9,0,2,1,7767
620,2012-09-12,3,1,9,0,3,1,7870
621,2012-09-13,3,1,9,0,4,1,7804
622,2012-09-14,3,1,9,0,5,1,8009
623,2012-09-15,3,1,9,0,6,0,8714
624,2012-09-16,3,1,9,0,0,0,7333
625,2012-09-17,3,1,9,0,1,1,6869
626,2012-09-18,3,1,9,0,2,1,4073
627,2012-09-19,3,1,9,0,3,1,7591
628,2012-09-20,3,1,9,0,4,1,7720
629,2012-09-21,3,1,9,0,5,1,8167
630,2012-09-22,3,1,9,0,6,0,8395
631,2012-09-23,4,1,9,0,0,0,7907
632,2012-09-24,4,1,9,0,1,1,7436
633,2012-09-25,4,1,9,0,2,1,7538
634,2012-09-26,4,1,9,0,3,1,7733
635,2012-09-27,4,1,9,0,4,1,7393
636,2012-09-28,4,1,9,0,5,1,7415
637,2012-09-29,4,1,9,0,6,0,8555
638,2012-09-30,4,1,9,0,0,0,6889
639,2012-10-01,4,1,10,0,1,1,6778
640,2012-10-02,4,1,10,0,2,1,4639
641,2012-10-03,4,1,10,0,3,1,7572
642,2012-10-04,4,1,10,0,4,1,7328
643,2012-10-05,4,1,10,0,5,1,8156
644,2012-10-06,4,1,10,0,6,0,7965
645,2012-10-07,4,1,10,0,0,0,3510
646,2012-10-08,4,1,10,1,1,0,5478
647,2012-10-09,4,1,10,0,2,1,6392
648,2012-10-10,4,1,10,0,3,1,7691
649,2012-10-11,4,1,10,0,4,1,7570
650,2012-10-12,4,1,10,0,5,1,7282
651,2012-10-13,4,1,10,0,6,0,7109
652,2012-10-14,4,1,10,0,0,0,6639
653,2012-10-15,4,1,10,0,1,1,5875
654,2012-10-16,4,1,10,0,2,1,7534
655,2012-10-17,4,1,10,0,3,1,7461
656,2012-10-18,4,1,10,0,4,1,7509
657,2012-10-19,4,1,10,0,5,1,5424
658,2012-10-20,4,1,10,0,6,0,8090
659,2012-10-21,4,1,10,0,0,0,6824
660,2012-10-22,4,1,10,0,1,1,7058
661,2012-10-23,4,1,10,0,2,1,7466
662,2012-10-24,4,1,10,0,3,1,7693
663,2012-10-25,4,1,10,0,4,1,7359
664,2012-10-26,4,1,10,0,5,1,7444
665,2012-10-27,4,1,10,0,6,0,7852
666,2012-10-28,4,1,10,0,0,0,4459
667,2012-10-29,4,1,10,0,1,1,22
668,2012-10-30,4,1,10,0,2,1,1096
669,2012-10-31,4,1,10,0,3,1,5566
670,2012-11-01,4,1,11,0,4,1,5986
671,2012-11-02,4,1,11,0,5,1,5847
672,2012-11-03,4,1,11,0,6,0,5138
673,2012-11-04,4,1,11,0,0,0,5107
674,2012-11-05,4,1,11,0,1,1,5259
675,2012-11-06,4,1,11,0,2,1,5686
676,2012-11-07,4,1,11,0,3,1,5035
677,2012-11-08,4,1,11,0,4,1,5315
678,2012-11-09,4,1,11,0,5,1,5992
679,2012-11-10,4,1,11,0,6,0,6536
680,2012-11-11,4,1,11,0,0,0,6852
681,2012-11-12,4,1,11,1,1,0,6269
682,2012-11-13,4,1,11,0,2,1,4094
683,2012-11-14,4,1,11,0,3,1,5495
684,2012-11-15,4,1,11,0,4,1,5445
685,2012-11-16,4,1,11,0,5,1,5698
686,2012-11-17,4,1,11,0,6,0,5629
687,2012-11-18,4,1,11,0,0,0,4669
688,2012-11-19,4,1,11,0,1,1,5499
689,2012-11-20,4,1,11,0,2,1,5634
690,2012-11-21,4,1,11,0,3,1,5146
691,2012-11-22,4,1,11,1,4,0,2425
692,2012-11-23,4,1,11,0,5,1,3910
693,2012-11-24,4,1,11,0,6,0,2277
694,2012-11-25,4,1,11,0,0,0,2424
695,2012-11-26,4,1,11,0,1,1,5087
696,2012-11-27,4,1,11,0,2,1,3959
697,2012-11-28,4,1,11,0,3,1,5260
698,2012-11-29,4,1,11,0,4,1,5323
699,2012-11-30,4,1,11,0,5,1,5668
700,2012-12-01,4,1,12,0,6,0,5191
701,2012-12-02,4,1,12,0,0,0,4649
702,2012-12-03,4,1,12,0,1,1,6234
703,2012-12-04,4,1,12,0,2,1,6606
704,2012-12-05,4,1,12,0,3,1,5729
705,2012-12-06,4,1,12,0,4,1,5375
706,2012-12-07,4,1,12,0,5,1,5008
707,2012-12-08,4,1,12,0,6,0,5582
708,2012-12-09,4,1,12,0,0,0,3228
709,2012-12-10,4,1,12,0,1,1,5170
710,2012-12-11,4,1,12,0,2,1,5501
711,2012-12-12,4,1,12,0,3,1,5319
712,2012-12-13,4,1,12,0,4,1,5532
713,2012-12-14,4,1,12,0,5,1,5611
714,2012-12-15,4,1,12,0,6,0,5047
715,2012-12-16,4,1,12,0,0,0,3786
716,2012-12-17,4,1,12,0,1,1,4585
717,2012-12-18,4,1,12,0,2,1,5557
718,2012-12-19,4,1,12,0,3,1,5267
719,2012-12-20,4,1,12,0,4,1,4128
720,2012-12-21,1,1,12,0,5,1,3623
721,2012-12-22,1,1,12,0,6,0,1749
722,2012-12-23,1,1,12,0,0,0,1787
723,2012-12-24,1,1,12,0,1,1,920
724,2012-12-25,1,1,12,1,2,0,1013
725,2012-12-26,1,1,12,0,3,1,441
726,2012-12-27,1,1,12,0,4,1,2114
727,2012-12-28,1,1,12,0,5,1,3095
728,2012-12-29,1,1,12,0,6,0,1341
729,2012-12-30,1,1,12,0,0,0,1796
730,2012-12-31,1,1,12,0,1,1,2729
